stopId,long_name,short_name,latitude,longitude,accusative_case,genitive_case
10000928,Hjallaskóli,Hjallaskóli,64.110826,-21.862431,Hjallaskóla,Hjallaskóla
10000929,Hlíðarvegur / Vogatunga,Vogatunga,64.107718,-21.901357,Vogatungu,Vogatungu
10000930,Hlíðarvegur / Grænatunga,Grænatunga,64.108219,-21.895275,Grænutungu,Grænutungu
10000931,Hlíðarvegur / Hrauntunga,Hrauntunga,64.108622,-21.890542,Hrauntungu,Hrauntungu
10000932,Hlíðarhjalli / Brekkuhjalli,Brekkuhjalli,64.10752,-21.879363,Brekkuhjalla,Brekkuhjalla
10000933,Hlíðarhjalli / Bakkahjalli,Bakkahjalli,64.107343,-21.87384,Bakkahjalla,Bakkahjalla
10000935,Hjallaskóli,Hjallaskóli,64.110854,-21.862583,Hjallaskóla,Hjallaskóla
10000936,Engihjalli,Engihjalli,64.10974,-21.860498,Engihjalla,Engihjalla
10000937,Kársnesbraut / Sæbólsbraut,Sæbólsbraut,64.11472,-21.903566,Sæbólsbraut,Sæbólsbrautar
10000938,Kársnesbraut / Huldubraut,Huldubraut,64.114406,-21.915075,Huldubraut,Huldubrautar
10000939,Kársnesbraut / Litlavör,Litlavör,64.113834,-21.923208,Litluvör,Litluvarar
10000940,Kársnesbraut / Vesturvör,Vesturvör,64.11375,-21.930038,Vesturvör,Vesturvarar
10000941,Kópavogsbraut / Borgarholtsbraut,Borgarholtsbraut,64.111205,-21.935797,Borgarholtsbraut,Borgarholtsbrautar
10000942,Kópavogsbraut / Kópavör,Kópavör,64.109204,-21.930964,Kópavör,Kópavarar
10000943,Kársnesskóli,Kársnesskóli,64.109103,-21.92395,Kársnesskóla,Kársnesskóla
10000944,Kópavogslaug,Kópavogslaug,64.110625,-21.91786,Kópavogslaug,Kópavogslaugar
10000945,Vatnsendavegur / Breiðahvarf,Breiðahvarf,64.090744,-21.807918,Breiðahvarfi,Breiðahvarfs
10000946,Digranesskóli,Digranesskóli,64.111428,-21.872992,Digranesskóla,Digranesskóla
10000947,Digranesskóli,Digranesskóli,64.111316,-21.871135,Digranesskóla,Digranesskóla
10000948,Lundur,Lundur,64.114587,-21.89492,Lundi,Lundar
10000949,Lundur,Lundur,64.114836,-21.895272,Lundi,Lundar
10000950,Þingmannaleið / Vallakór,Vallakór,64.083772,-21.818533,Vallakór,Vallakórs
10000951,Boðaþing,Boðaþing,64.082119,-21.817871,Boðaþingi,Boðaþings
10000952,Þingmannaleið / Aðalþing,Aðalþing,64.083907,-21.818448,Aðalþingi,Aðalþings
10000953,Vatnsendahvarf / Víkurhvarf,Víkurhvarf,64.093626,-21.808357,Víkurhvarfi,Víkurhvarfs
10000954,Vatnsendahvarf / Ögurhvarf,Ögurhvarf,64.096425,-21.805488,Ögurhvarfi,Ögurhvarfs
10000955,Vatnsendahvarf / Ögurhvarf,Ögurhvarf,64.09653,-21.80577,Ögurhvarfi,Ögurhvarfs
10000956,Vatnsendahvarf / Víkurhvarf,Víkurhvarf,64.093697,-21.808651,Víkurhvarfi,Víkurhvarfs
10000957,Dalaþing,Dalaþing,64.082119,-21.817871,Dalaþingi,Dalaþings
11000100,Grænamýri,Grænamýri,64.146191,-21.977659,Grænumýri,Grænumýri
11000101,Nesvegur / Skerjabraut,Skerjabraut,64.148336,-21.98321,Skerjabraut,Skerjabrautar
11000102,Eiðistorg,Eiðistorg,64.150701,-21.987077,Eiðistorgi,Eiðistorgs
11000103,Íþróttamiðstöð Seltjarnarness,Íþróttamiðstöð Seltjarnarness,64.149908,-21.992431,Íþróttamiðstöð Seltjarnarness,Íþróttamiðstöðvar Seltjarnarness
11000104,Suðurströnd / Bakkavör,Bakkavör,64.151323,-22.002626,Bakkavör,Bakkavarar
11000105,Suðurströnd / Miðbraut,Miðbraut,64.153259,-22.004812,Miðbraut,Miðbrautar
11000106,Lindarbraut / Hæðarbraut,Hæðarbraut,64.155473,-22.003511,Hæðarbraut,Hæðarbrautar
11000107,Lindarbraut / Hofgarðar,Hofgarðar,64.15764,-22.001297,Hofgörðum,Hofgarða
11000108,Norðurströnd / Bollagarðar,Bollagarðar,64.157636,-21.99257,Bollagörðum,Bollagarða
11000109,Norðurströnd / Fornaströnd,Fornaströnd,64.154798,-21.986627,Fornuströnd,Fornustrandar
11000110,Norðurströnd / Austurströnd,Austurströnd,64.152592,-21.985947,Austurströnd,Austurstrandar
11000111,Eiðistorg,Eiðistorg,64.150387,-21.9861,Eiðistorgi,Eiðistorgs
11000112,Nesvegur / Skerjabraut,Skerjabraut,64.148036,-21.982981,Skerjabraut,Skerjabrautar
11000113,Grænamýri,Grænamýri,64.146087,-21.977692,Grænumýri,Grænumýrar
11000147,Norðurströnd / Barðaströnd,Barðaströnd,64.156782,-21.988204,Barðaströnd,Barðastrandar
13001201,Arnarneshæð,Arnarneshæð,64.09963218,-21.91718273,Arnarneshæð,Arnarneshæðar
13001202,Arnarneshæð,Arnarneshæð,64.099335,-21.913226,Arnarneshæð,Arnarneshæðar
13001204,Arnarneshæð,Arnarneshæð,64.099529,-21.912902,Arnarneshæð,Arnarneshæðar
13001206,Vífilsstaðavegur / Sjávargrund,Sjávargrund,64.091965,-21.929768,Sjávargrund,Sjávargrundar
13001207,Arnarnesvegur / Bæjarbraut,Bæjarbraut,64.098383,-21.903811,Bæjarbraut,Bæjarbrautar
13001208,Karlabraut / Reynilundur,Reynilundur,64.085651,-21.909578,Reynilundi,Reynilundar
13001209,Karlabraut / Espilundur,Espilundur,64.0858,-21.909279,Espilundi,Espilundar
13001210,Karlabraut / Furulundur,Furulundur,64.088235,-21.907285,Furulundi,Furulundar
13001211,Karlabraut / Búðir,Búðir,64.089627,-21.904301,Búðum,Búða
13001212,Karlabraut / Heiðarlundur,Heiðarlundur,64.088219,-21.907533,Heiðarlundi,Heiðarlundar
13001215,Vídalínskirkja,Vídalínskirkja,64.088156,-21.913116,Vídalínskirkju,Vídalínskirkju
13001216,Vídalínskirkja,Vídalínskirkja,64.088003,-21.913181,Vídalínskirkju,Vídalínskirkju
13001218,Vídalínskirkja,Vídalínskirkja,64.086775,-21.916422,Vídalínskirkju,Vídalínskirkju
13001219,Garðatorg,Garðatorg,64.088501,-21.922039,Garðatorgi,Garðatorgs
13001220,Garðatorg,Garðatorg,64.089602,-21.921189,Garðatorgi,Garðatorgs
13001221,Hofsstaðabraut / Lyngmóar,Lyngmóar,64.091298,-21.914408,Lyngmóum,Lyngmóa
13001222,Fjölbrautaskólinn í Garðabæ / FG,FG,64.092528,-21.902847,FG,FG
